2025-12-23T07:01:46.627Z [INFO]: [STATUS: 401] USER_INFO: EMAIL:- newuser1@yopmail.com - REF_NO:- AXR_59064d4b-7f69-4671-8611-e5001338abd5 | IP: 49.43.105.102 | Location: Public Network | GET /api/v1/getUserProfile?email=newuser1@yopmail.com&reference_number=AXR_59064d4b-7f69-4671-8611-e5001338abd5 | 1.76 ms
2025-12-23T07:01:47.729Z [INFO]: [STATUS: 304] USER_INFO: EMAIL:- newuser1@yopmail.com - REF_NO:- AXR_59064d4b-7f69-4671-8611-e5001338abd5 | IP: 49.43.105.102 | Location: Public Network | GET /api/v1/getUserProfile?email=newuser1@yopmail.com&reference_number=AXR_59064d4b-7f69-4671-8611-e5001338abd5 | 9.32 ms
2025-12-23T07:02:02.070Z [INFO]: [STATUS: 200] USER_INFO: EMAIL:- newuser1@yopmail.com - REF_NO:- AXR_59064d4b-7f69-4671-8611-e5001338abd5 | IP: 49.43.105.102 | Location: Public Network | GET /api/v1/getUserProfile?email=newuser1@yopmail.com&reference_number=AXR_59064d4b-7f69-4671-8611-e5001338abd5 | 10.32 ms
2025-12-23T07:02:02.093Z [INFO]: [STATUS: 200] USER_INFO: EMAIL:- newuser1@yopmail.com - REF_NO:- AXR_59064d4b-7f69-4671-8611-e5001338abd5 | IP: 49.43.105.102 | Location: Public Network | GET /api/v1/getUserProfile?email=newuser1@yopmail.com&reference_number=AXR_59064d4b-7f69-4671-8611-e5001338abd5 | 7.32 ms
2025-12-23T07:05:41.882Z [INFO]: [STATUS: 200] USER_INFO: EMAIL:- irualec@gmail.com - REF_NO:- AXS_74b71c68-cd0c-427d-a4d2-401aec8a4f2b | IP: 102.209.76.51 | Location: Public Network | POST /api/v1/refreshAccessToken | 10.05 ms
2025-12-23T07:22:29.872Z [INFO]: [STATUS: 200] USER_INFO: EMAIL:- vikas@yopmail.com - REF_NO:- AXR_9c0801e2-5d74-4eef-bde2-91ec3d4ffc59 | IP: 103.205.112.166 | Location: Public Network | POST /api/v1/refreshAccessToken | 10.14 ms
2025-12-23T07:22:30.980Z [INFO]: [STATUS: 200] USER_INFO: EMAIL:- vikas@yopmail.com - REF_NO:- AXR_9c0801e2-5d74-4eef-bde2-91ec3d4ffc59 | IP: 103.205.112.165 | Location: Public Network | POST /api/v1/refreshAccessToken | 14.71 ms
2025-12-23T07:22:30.987Z [INFO]: [STATUS: 200] USER_INFO: EMAIL:- vikas@yopmail.com - REF_NO:- AXR_9c0801e2-5d74-4eef-bde2-91ec3d4ffc59 | IP: 103.205.112.166 | Location: Public Network | POST /api/v1/refreshAccessToken | 12.00 ms
2025-12-23T07:22:31.217Z [INFO]: [STATUS: 200] USER_INFO: EMAIL:- vikas@yopmail.com - REF_NO:- AXR_9c0801e2-5d74-4eef-bde2-91ec3d4ffc59 | IP: 103.205.112.165 | Location: Public Network | POST /api/v1/refreshAccessToken | 8.07 ms
2025-12-23T07:29:10.230Z [INFO]: [STATUS: 200] USER_INFO: EMAIL:- irualec@gmail.com - REF_NO:- AXS_74b71c68-cd0c-427d-a4d2-401aec8a4f2b | IP: 102.209.76.51 | Location: Public Network | POST /api/v1/refreshAccessToken | 13.37 ms
2025-12-23T07:30:26.340Z [INFO]: [STATUS: 200] USER_INFO: EMAIL:- mads.galsgaard@gmail.com - REF_NO:- AXS_dace20d9-062a-4aa1-8a4f-a85c468f1dcb | IP: 41.90.172.85 | Location: Public Network | POST /api/v1/refreshAccessToken | 10.50 ms
2025-12-23T07:30:31.353Z [INFO]: [STATUS: 404] USER_INFO: EMAIL:- mads.galsgaard@gmail.com - REF_NO:- AXR_785c3b63-d055-4446-a659-2f467a876358 | IP: 41.90.172.85 | Location: Public Network | POST /api/v1/tiktokTokenExist | 22.45 ms
2025-12-23T07:30:31.507Z [INFO]: [STATUS: 200] USER_INFO: EMAIL:- mads.galsgaard@gmail.com - REF_NO:- AXR_785c3b63-d055-4446-a659-2f467a876358 | IP: 41.90.172.85 | Location: Public Network | POST /api/v1/instagramTokenExist | 172.82 ms
